problem_name|mean_best_fitness|std_best_fitness|best_fitness|best_individual
5.100-0|21710.5|437.2048147035895|22412|0100001010000000000001010000100100000010010110000000000010000010011010100111101001010110010110000000
5.100-1|21041.3|516.6968260014764|21952|0001000000100000000011000001000001000001001100001100101111000110100000111100101000000000101101000000
5.100-2|20343.8|545.0192290185732|20955|0000101000010100001101000000100000010001000010000101010110000101000001011010001100101000000011001000
5.100-3|21285.7|386.7423043836813|21854|1101010000011100001000111000001001100010001000000000010110000110100101000000001000000000100000110000
5.100-4|21253.8|376.10365592479957|21734|0111001010000100010001000000000000100011000000000100001010000100011000001000001110010000000010101111
5.100-5|21753.3|614.0052198475189|22839|0010011100000010000000100000011100100010111010001100001110100000110000001000001001000010010000010000
5.100-6|22688.9|344.195714674079|23258|0000001100000000001001110100000001000001110010100110001001001000110000000010101000000001100010011000
5.100-7|20657.5|361.6200353962706|21360|0100001000100000100111000000010100000000001001000010111110100010000101000001010100100100001000100000
5.100-8|21471.1|394.0364069473784|22226|0000010010100100001010000001001100001000100000100000001100110000011001010010011010010000000100000010
5.100-9|21800.9|372.91458807614384|22341|0000100100111010001010100001001100001010100010001010000100000100100100001000100000000110001010000000
5.100-10|38219.7|903.6284690070361|39287|0011110111101001111110111100001110101110011110000011011110110000000100110111000110001011010000000011
5.100-11|38654.6|410.4692923959111|39451|0101111011011010000001111000100000110001101101110111000101101001101010010100111100010111010001001101
5.100-12|37947.9|569.2056658186037|39122|1001110111010100101110011010110100001000100011010010101101101100110101001011100001001101101110111001
5.100-13|41272.9|481.3544328247118|42013|0011110111000100010000101111110101101101111010010000001101011110111011100011101100110001000101001000
5.100-14|38025.0|399.70989479871525|38545|1111101010101000101111001110111110100111110100111100111010000001010000000000100111010010000111101010
5.100-15|38639.2|815.0840202089598|39877|1011000001011100110101101001101111011100111010010101100001011000001111111001011000110100000011001110
5.100-16|37949.6|447.94624677521296|38473|1010010111110010101101011001110001110110010111101110101001111101011000001000000000000110010010000000
5.100-17|40781.9|499.1119012806647|41565|0011011010111000100110010100011111000101010011110010011110000100111111011000010011010101111110100001
5.100-18|39370.7|521.1005757049209|40044|1010000001001011010110010110010111000100111110111111100001101000011111001000100011110000001001101011
5.100-19|40451.9|546.4094527000791|41675|1001111111011011100001010111110010100111011001011011110110010001011001101101101000000001100001110011
5.100-20|53453.2|1454.5868691831367|55365|1111110111111011101111111011111110111011000011011110110111110011110001101101100111101111110011101011
5.100-21|55515.7|1010.149300846167|57482|1111110111011101101001100011101110011011011111111110111001111011111100110011111001001111011011111111
5.100-22|53857.6|659.2086467879499|54711|1101001111101101011111000011101010101011111010110010111011111010111111100111001110111111100011101111
5.100-23|54629.8|1051.9564439652431|55958|1101111111110101101101001001101110011011100001111011111101101011111001011011111010111111111111111010
5.100-24|53737.9|1405.5991213713817|55728|1111111101011110111010001111100101011011101111110111010111011001001111111111101101111011110110001110
5.100-25|52940.5|1137.760453698405|54436|1001100100110111100110011001111111011100110100111111100101111011010111011110111101101110111000011111
5.100-26|55289.8|1374.0425612039824|57111|1100111111111001011011110111111111100110011101111100111101111001011011101111011100110011111110111110
5.100-27|54500.5|1172.5442635568177|56101|0011011101001110101110111111111011111001110001111111010111111111010000101011111110110100110111101011
5.100-28|53187.7|979.9424523919758|55488|1111111111111010100110110110111100101111110011101111010101111111001001010111111111001110111111111101
5.100-29|53399.3|1125.53632104877|54916|1101011111111100111111010110111111100110011110111111110111100101011100110100011101110011101111111111
